baseline,n_tasks,reward_delta,reward_ci_lower,reward_ci_upper,reward_pvalue,reward_cohens_d,predicted_engagement_delta,predicted_engagement_pvalue,audience_fit_delta,audience_fit_pvalue,reward_adjusted_pvalue
B0_Template,40,0.1195,0.1086,0.1301,3.720152600909169e-23,3.3831,0.1668,1.3101426656282683e-28,0.0677,5.056759594256264e-05,1.4880610403636676e-22
B1_SingleShot_API,40,0.0557,0.0354,0.0756,5.1088824227799e-06,0.8353,0.0544,4.1673255312592336e-07,0.0352,0.03561044567798077,1.02177648455598e-05
B2_OpenSource_Only,40,0.0606,0.0428,0.0787,9.471893058149216e-08,1.0328,0.0592,1.529434787748907e-07,0.0406,0.020151755256245383,2.8415679174447645e-07
B3_PromptEngineered_AI,40,0.0483,0.0274,0.0689,6.705607940270115e-05,0.7056,0.0389,0.0005262154955904642,0.0325,0.008708525057860272,6.705607940270115e-05
