method,n,mean_reward,mean_relevance,mean_clarity,mean_audience_fit,mean_diversity,mean_predicted_engagement,mean_brand_safety,mean_penalty,mean_model_calls,mean_latency_ms,median_latency_ms
Ours_EAI_CO,40,0.8051,0.9122,0.913,0.4719,0.7693,0.8238,0.9945,0.001,8.0,11114.225,11358.5
Ours_without_factual_penalty,40,0.8006,0.948,0.92,0.4692,0.8196,0.8185,0.813,0.0,8.0,11470.75,11962.5
Ours_without_audience_modeling,40,0.7833,0.9058,0.92,0.396,0.7396,0.81,1.0,0.0,8.0,10465.55,10712.5
Ours_without_iterative_loop,40,0.776,0.844,0.9095,0.4421,0.7988,0.7959,0.967,0.006,4.0,5379.95,5440.0
B3_PromptEngineered_AI,40,0.7568,0.792,0.9165,0.4394,0.86,0.7849,0.9395,0.011,4.0,2727.475,2810.0
B1_SingleShot_API,40,0.7494,0.792,0.913,0.4367,0.866,0.7695,0.9175,0.013,4.0,2780.3,2851.5
B2_OpenSource_Only,40,0.7445,0.805,0.8955,0.4312,0.8631,0.7646,0.934,0.012,3.0,2707.25,2731.5
Ours_without_diversity,40,0.7349,0.883,0.9165,0.4556,0.0,0.8149,0.989,0.001,8.0,10796.675,11013.5
B0_Template,40,0.6856,0.558,0.92,0.4042,1.0,0.657,1.0,0.0,0.0,1.0,1.0
